,transcription,emotions,audio,label
2609,How long did that row last?,"{'Excited': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M028.wav,Neutral
2610,The worst one was in Cannes when your curling iron burnt a hole in my new dressing gown.,"{'Excited': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M029.wav,Neutral
2612,I didn't hit you very hard.,"{'Excited': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M031.wav,Neutral
2613,"Oh, I'll never forget his face.","{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M032.wav,Happiness
2614,We were very much younger then.,{'Neutral': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M033.wav,Neutral
2615,"As a matter of fact, the real cause of that row was Peter Burden.",{'Neutral': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M034.wav,Neutral
2623,"Well, if you hadn't been so suspicious and nosey, you never would have known a thing about it.","{'Excited': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F007.wav,Neutral
2627,Just seems so silly to go on and on and on with such a thing.,"{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F011.wav,Neutral
2628,"Well, it's become a habit with you.","{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F012.wav,Neutral
2629,Don't be so stupid.,"{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F013.wav,Anger
2630,What?,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F014.wav,Anger
2632,"A woman's job is to allure the man. Watch me a minute, will you?",{'Excited': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F016.wav,Happiness
2633,"No, it isn't.","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F017.wav,Frustration
2634,"Oh, be quiet.","{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F018.wav,Anger
2635,Doesn't seem to have worked such wonders with you.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F019.wav,Frustration
2636,"Adders don't snap, they sting.","{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F020.wav,Anger
2638,"I don't care, do you understand? I don't care. I don't care if they bark or roll about like hoops.","{'Frustration': 0.75, 'Anger': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F022.wav,Frustration
2640,Mind your own business.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F024.wav,Frustration
2641,You're quite insufferable,"{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F025.wav,Anger
2642,I expect it's because you're drunk.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F026.wav,Frustration
2644,"On the contrary, a child of two could get violently drunk on only one glass of brandy.","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F028.wav,Frustration
2645,Shut up.,"{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F029.wav,Anger
2646,"Not very funny, dear. You'd better have some more brandy.","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F030.wav,Frustration
2647,Why?,"{'Sadness': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F031.wav,Anger
2648,There aren't any people upstairs. It's a photographer's studio.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F032.wav,Frustration
2650,"Turn it on again, please.",{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F034.wav,Anger
2651,"Very well, if you insist on being boorish and idiotic.",{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F035.wav,Anger
2652,You are far too temperamental. Try to control yourself.,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F036.wav,Anger
2653,Stop it. Go away. I hate you.,"{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F037.wav,Anger
2654,"Listen? Listen, indeed. I am sick and tired of listening to you, damn sadistic bully.","{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F038.wav,Anger
2655,"I hate you. Stop it. Stop it. I hate you, do you hear? You're conceited and overbearing and utterly impossible.","{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F039.wav,Anger
2656,This is the end. Finally and forever. Do you hear me? The end.,"{'Frustration': 0.25, 'Anger': 0.75}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F040.wav,Anger
2657,"Oh Yes, I am.",{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F041.wav,Anger
2658,I am. Let go of me. You're a cruel fiend and I hate and loathe you.,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F042.wav,Anger
2659,Thank God I realized what you are-- I'd never marry you again ever in my life. You're a cruel fiend and I hate you. You're a beast. You're a beast--I hate you. Stop it. Stop it.,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F043.wav,Anger
2660,"As a matter of fact, the real cause of that row was Peter Burden.","{'Neutral': 0.6666666666666666, 'Excited': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M000.wav,Neutral
2661,I knew nothing of the sort. You took presents from him.,"{'Neutral': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M001.wav,Neutral
2666,What of it?,"{'Surprise': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M006.wav,Anger
2667,"Well, what about me?","{'Excited': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M007.wav,Anger
2669,"Me, too. Bored stiff. You want some brandy?","{'Excited': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M009.wav,Neutral
2671,No particular reason. Anyhow they were very small ones.,"{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M011.wav,Neutral
2672,You can hardly call three liquor glasses in a whole evening going on and on and on.,{'Frustration': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M012.wav,Frustration
2673,"You needn't be so grand, just because you don't happen to want any yourself at the moment.","{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M013.wav,Anger
2675,Nothing.,"{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M015.wav,Frustration
2679,"Yes, it is.","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M019.wav,Frustration
2681,"Snap, snap, snap, like a little adder.","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M021.wav,Frustration
2682,Nonsense. They have a little bag of venom behind their fangs and they snap.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M022.wav,Frustration
2683,They snap.,"{'Excited': 0.25, 'Frustration': 0.5, 'Anger': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M023.wav,Frustration
2687,I'm not in the least drunk.,"{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M027.wav,Anger
2688,"As I mentioned before, I have had three minute liquor glasses of brandy the whole evening long. A child of two couldn't get drunk on that.","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M028.wav,Frustration
2689,"Oh, very interesting. How about a child of four? A child of six? Or a child of nine?","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M029.wav,Frustration
2690,"We could get a good debate going about this, don't you think? Intemperate tots.","{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M030.wav,Anger
2693,Because it's late and it'll annoy the people upstairs.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M033.wav,Frustration
2694,There are people downstairs I suppose?,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M034.wav,Frustration
2695,This is no time of the year for Tunis.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M035.wav,Frustration
2696,I'll do no such thing.,"{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M036.wav,Anger
2697,Turn it off. It's driving me mad.,"{'Excited': 0.25, 'Frustration': 0.25, 'Anger': 0.5}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M037.wav,Anger
2698,Turn it off.,"{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M038.wav,Anger
2699,"Amanda, listen. listen","{'Frustration': 0.3333333333333333, 'Anger': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M039.wav,Anger
2700,"Very amusing, indeed.",{'Frustration': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M040.wav,Frustration
2701,"You're a vile, tempered, loose living, wicked little beast and I hope to never see you again as long as I live.","{'Frustration': 0.25, 'Anger': 0.75}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M041.wav,Anger
2702,You're not going like this.,"{'Frustration': 0.25, 'Anger': 0.75}",IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M042.wav,Anger
2703,You're not.,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M043.wav,Anger
2704,Shut up. Shut up.,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M044.wav,Anger
2705,I wouldn't-- I wouldn't marry--,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M045.wav,Anger
2706,I wouldn't marry you if you came in crawling on your knees,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M046.wav,Anger
2707,You're a evil vampire and I hope to God I never see you again as long as I live.,{'Anger': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M047.wav,Anger
2708,"Hi, How can I help you?","{'Happiness': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F000.wav,Neutral
2709,"Sure, um",{'Neutral': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F001.wav,Neutral
2710,do you have two forms of ID with you?,{'Neutral': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F002.wav,Neutral
2711,"I actually need two forms of ID. I need either a passport or a birth certificate, or social security card. I'm sorry.",{'Neutral': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F003.wav,Neutral
2712,Well,"{'Excited': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F004.wav,Neutral
2713,I- I can take your driver's license but I need another form of ID in order to process this paper work.,"{'Neutral': 0.75, 'Frustration': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F005.wav,Neutral
2714,"Um, that you would need to go home and get another form of ID and come back.","{'Neutral': 0.5, 'Frustration': 0.25, 'Disgust': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F006.wav,Neutral
2715,"Well, I'm sorry sir but","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F007.wav,Frustration
2716,you need to bring two forms of ID there is nothing we can do about it.,"{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F008.wav,Frustration
2717,"Well, it's actually-","{'Frustration': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F009.wav,Frustration
2718,"It's standard that you bring a couple of forms of ID, I'm sorry.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F010.wav,Frustration
2719,"Well, I'm sorry, sir, but we're not responsible.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F011.wav,Frustration
2720,"Yes, you did, thank you very much, but we're not responsible if you've forgotten something, and we need to have two forms of ID.","{'Frustration': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F012.wav,Frustration
2721,"I'm sorry, but there is a lot of people waiting so you're just going to have to get in line again.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F013.wav,Frustration
2722,"It just happens to people all the time, I'm sorry sir, but I can't make an exception for you.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F014.wav,Frustration
2723,"I'm sorry, sir.","{'Neutral': 0.5, 'Frustration': 0.5}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F015.wav,Neutral
2724,there is nothing I can do.,"{'Neutral': 0.5, 'Frustration': 0.5}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F016.wav,Neutral
2725,"I know sir, but we have to have two forms. There is nothing I can do about it, I'm sorry.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F017.wav,Frustration
2726,"I'm sorry, sir. There is nothing I can do.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F018.wav,Frustration
2727,"Well, if you had checked the web site it would have said.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F019.wav,Frustration
2728,If you had checked the website it would have said that you needed two forms of identification.,"{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F020.wav,Frustration
2729,"Well, maybe you should","{'Frustration': 0.5, 'Neutral': 0.25, 'Disgust': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F021.wav,Frustration
2730,Right. So maybe you should go home now and get your paperwork and come back.,"{'Frustration': 0.5, 'Neutral': 0.25, 'Disgust': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F022.wav,Frustration
2731,"I'm sorry sir but there's a lot of people waiting. So if you won't move out of the way, then I'm going to have to call security.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F023.wav,Frustration
2732,"I'm sorry, sir, it's not my choice.","{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F024.wav,Frustration
2733,All right. Finally. Here you go.,{'Frustration': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M000.wav,Frustration
2734,"Yea. I just want to get this done,","{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M001.wav,Neutral
2735,get my new license.,"{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M002.wav,Neutral
2736,"Um, no, I got my driver's license though.","{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M003.wav,Neutral
2737,"Uh, sorry, I forgot them. I mean I've got to -","{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M004.wav,Neutral
2738,well is the dri-driver's license going to work?,"{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M005.wav,Neutral
2739,"Okay, so what are you saying? What-",{'Frustration': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M006.wav,Frustration
2740,"What? I- You telling me I waited in that huge line to go and sit down and get my number called, like after","{'Anger': 0.6, 'Surprise': 0.2, 'Frustration': 0.2}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M007.wav,Anger
2741,three hours and,"{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M008.wav,Anger
2742,Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again?,"{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M009.wav,Anger
2743,"It's standard? I mean I don't work at the D.M.V. how am I supposed to know that, like, I stand in line, I get my","{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M010.wav,Anger
2744,"I filled out the application right, didn't I?","{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M011.wav,Anger
2745,Okay. What about - no -- how about you hold that and I'll - I'll go and I can come back-,{'Frustration': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M012.wav,Frustration
2746,I've been waiting for three hours.,{'Frustration': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M013.wav,Frustration
2747,This is ridiculous. Come on,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M014.wav,Frustration
2748,"I cannot go back in that line. I've got stuff I need to do, I mean-","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M015.wav,Frustration
2750,That doesn't make any sense. Why?,"{'Anger': 0.3333333333333333, 'Frustration': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M017.wav,Frustration
2751,You- shouldn't you have like a sign or something maybe like up on the counter when you get the applica- maybe on the application,"{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M018.wav,Anger
2752,"What web- I didn't go to a website - why would I need to - it's the D.M.V.. You come to the D.M.V., you wait in line for three hours, and then you go home.","{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M019.wav,Anger
2753,I waited in line now I'm ready to get my stuff and then go home.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M020.wav,Frustration
2754,"God, oh my-","{'Anger': 0.3333333333333333, 'Frustration': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M021.wav,Frustration
2755,This is ridiculous.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M022.wav,Frustration
2756,I don't want you to go.,{'Sadness': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F000.wav,Sadness
2757,"I'm going to miss you too; I don't know what I'm going to do here without you. It's going to be so lonely, and so hard.","{'Sadness': 0.8, 'Frustration': 0.2}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F001.wav,Sadness
2758,I don't want to be a single mom.,"{'Sadness': 0.8, 'Fear': 0.2}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F002.wav,Sadness
2759,but,"{'Frustration': 0.25, 'Sadness': 0.75}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F003.wav,Sadness
2760,It's dangerous; I mean how can you make sure that you'll,"{'Sadness': 0.6666666666666666, 'Fear': 0.3333333333333333}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F004.wav,Sadness
2761,I hope so.,"{'Frustration': 0.25, 'Sadness': 0.75}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F005.wav,Sadness
2762,I hope so.,{'Sadness': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F006.wav,Sadness
2763,It's going to be really rough.,{'Sadness': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F007.wav,Sadness
2764,I'll send you lots of pictures.,"{'Sadness': 0.75, 'Happiness': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F008.wav,Sadness
2765,"Well, just promise me that you going to be safe.","{'Frustration': 0.3333333333333333, 'Sadness': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F009.wav,Sadness
2766,"I mean can't they put you in like, you know kitchen work or something where you won't get","{'Sadness': 0.5, 'Fear': 0.5}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F010.wav,Sadness
2767,It doesn't make any sense; I don't know why we have to be at war in the first place.,"{'Frustration': 0.5, 'Sadness': 0.16666666666666666, 'Fear': 0.16666666666666666, 'Anger': 0.16666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F011.wav,Frustration
2768,"Will you write me letters, paper ones?","{'Sadness': 0.8, 'Happiness': 0.2}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F012.wav,Sadness
2769,"Our baby needs a dad; you can't leave. Okay, you can't disappear.","{'Sadness': 0.75, 'Frustration': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F013.wav,Sadness
2770,I'll miss you too.,"{'Frustration': 0.2, 'Sadness': 0.6, 'Happiness': 0.2}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F014.wav,Sadness
2771,"I know, I know. I don't want to go either baby. I love you know. And I'm going to miss you a lot.","{'Sadness': 0.75, 'Frustration': 0.25}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_M000.wav,Sadness
2772,"You won't be. I'll be back; I'll be back before you know it. All right, and",{'Sadness': 1.0},IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_M001.wav,Sadness
2773,and,"{'Frustration': 0.3333333333333333, 'Sadness': 0.6666666666666666}",IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_M002.wav,Sadness
